trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
759,False,"{'a': 0.5, 'e': 1.6831730413430443e-08}",25,0,43.01626054005063,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.5, 'e': 1.601083724766178e-08}",25,9,29.349609375196632,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.5, 'e': 1.522997951276035e-08}",20,8,25.63521270955476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.5, 'e': 1.4487204657841413e-08}",25,11,25.75097284382383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.5, 'e': 1.3780655359039254e-08}",20,16,8.99572028880985,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.5, 'e': 1.310856487523177e-08}",20,10,19.47002271244251,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.5, 'e': 1.2469252630268726e-08}",30,21,19.992144522402292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.5, 'e': 1.1861120010657661e-08}",25,12,23.03591363952231,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.5, 'e': 1.1282646368198494e-08}",30,24,10.84565875658591,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.5, 'e': 1.0732385217572132e-08}",30,16,27.28897081664482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.5, 'e': 1.020896061937476e-08}",25,17,16.83405441311153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.5, 'e': 9.711063739553407e-09}",25,4,16.033754029523447,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
771,False,"{'a': 0.5, 'e': 9.23744957664012e-09}",20,6,25.48002761836397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.5, 'e': 8.786933848600391e-09}",35,7,45.26503197200452,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.5, 'e': 8.358390031511923e-09}",20,4,24.497895880751226,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.5, 'e': 7.950746542668686e-09}",20,10,19.119398942005127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.5, 'e': 7.562984061066411e-09}",25,14,22.38180011984992,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.5, 'e': 7.194132978569834e-09}",30,24,11.935092234030101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.5, 'e': 6.8432709753876305e-09}",30,16,22.333701706278056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 6.509520713792964e-09}",25,20,11.281004688426464,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.5, 'e': 6.192047644322584e-09}",20,13,13.155264579299812,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.5, 'e': 5.890057918968707e-09}",20,12,19.712292375886037,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 5.602796406145941e-09}",20,12,17.44858391296366,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 5.329544802469174e-09}",30,16,30.156213331497945,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.5, 'e': 5.069619836621241e-09}",35,22,24.754374292028263,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
